"Name","Description","Main Category","Categories","Query","City","Address","Ward","Street","Postal Code","State","Country Code","Time Zone","Plus Code","Phone","Website","Rating","Reviews","Score","Score Category","Price Range","Status","Latitude","Longitude","About","Service Name","Service Option"
"Vendôme Music Event","Vendôme Music Event est une jeune agence de mise en musique d'évènement portée par Michel d'Ottaviani, ex ténor de l'Opéra National de Paris, directeur de l'Atelier du Chant & de la Scène et d'Ali Kaban, artiste scénographe.
Nous mettons toute notre énergie, notre passion, notre amour pour la musique et nos folles idées au service de vos événements.
Notre expertise dans les domaines du chant, de la musique et de la conceptions d'?uvres sur mesure font de nous des bâtisseurs musicaux puissants pour la réussite de vos entreprises.
Un Sing-Building pour faire chanter vos équipes, la composition et l'écriture d'un hymne avec les mots forts de l'entreprise, un arbre de Noël, un concept sur mesure.","Agence événementielle","Agence événementielle","agence evenementiel in vendome","Paris","24 Rue Chanoinesse, 75004 Paris","","24 Rue Chanoinesse","75004","","FR","Europe/Paris","V932+M3 Paris","06 46 03 55 85","https://www.vendomemusicevent.com/","5.0","1","63","Good","","Ouvert ? Ferme à 21:30","48.8542238","2.3502462","","",""
"CAMPO SAN MAURIZIO WEDDINGS","Se marier à Venise. Dites vous OUI à Venise, civil ou religieux, à 2 ou +, j'organise et vous garantis un mariage unique, hors du commun, dans cette ville si exceptionnelle.","Organisateur de mariages","Organisateur de mariages; Agence de voyages","agence evenementiel in vendome","Paris","200 Rue de Rivoli, 75001 Paris","","200 Rue de Rivoli","75001","","FR","Europe/Paris","V87J+P9 Paris","06 73 84 57 08","https://camposanmaurizio.com/","5.0","15","84","Excellent","","Ouvert 24h/24","48.8642616","2.3309371","Fournis par l'établissement; Services disponibles; Services","Fournis par l'établissement; Services disponibles; Services","S'identifie comme géré par une femme; Services sur place; Assistance dans d'autres langues; Toilettes non genrées"
"Hoda Roche Communication","","Agence de relations publiques","Agence de relations publiques; Agence événementielle","agence evenementiel in vendome","Paris","332 Rue Saint-Honoré, 75001 Paris","","332 Rue Saint-Honoré","75001","","FR","Europe/Paris","V88J+87 Paris","01 56 92 19 16","https://www.hodaroche.com/","5.0","1","63","Good","","Ferme bientôt ? 18:30 ? Ouvre à 09:30 mar.","48.8657761","2.3307083","","",""
"Pavillon Cambon Capucines - Potel et Chabot","Notre société loue des salles et organise des réceptions, des événements d'entreprise, des événements culturels, des événements institutionnels et des événements privées.","Espace événementiel","Espace événementiel; Salle de banquet","agence evenementiel in vendome","Paris","46 Rue Cambon, 75001 Paris","","46 Rue Cambon","75001","","FR","Europe/Paris","V89H+M4 Paris","01 47 20 04 05","http://www.facebook.com/pages/Pavillon-Cambon-Capucines/118160888866550","4.6","491","89","Excellent","????","Ferme bientôt ? 19:00 ? Ouvre à 09:00 mar.","48.8692303","2.3278328","Accessibilité; Services; Parking","Accessibilité; Services; Parking","Entrée accessible en fauteuil roulant; Toilettes accessibles en fauteuil roulant; Toilettes; Parking payant dans la rue"
"COCKTAILS PARIS","Cocktails Paris est spécialisée dans l?organisation et la mise en place de bars éphémères, une animation originale et conviviale pour vos évènements de 10 à 3000 personnes.
Partout en France, et pour chaque type d?événement, le savoir-faire de nos mixologues répondra avec justesse à vos demandes.","Agence événementielle","Agence événementielle; Services aux entreprises; Bar à cocktails","agence evenementiel in vendome","Paris","231 Rue Saint-Honoré, 75001 Paris","","231 Rue Saint-Honoré","75001","","FR","Europe/Paris","V88H+FM Paris","01 40 28 16 82","https://cocktails-paris.com/","4.2","20","61","Good","","Ferme bientôt ? 19:00 ? Ouvre à 10:00 mar.","48.866177799999996","2.3291679","Accessibilité","Accessibilité","Parking accessible en fauteuil roulant"
"BlackDress sarl","","Services aux entreprises","Services aux entreprises","agence evenementiel in vendome","Paris","28 Rue du Mont Thabor, 75001 Paris","","28 Rue du Mont Thabor","75001","","FR","Europe/Paris","V88G+GR Paris","","https://blackdress.fr/","0.0","0","60","Average","","Fermé ? Ouvre à 09:30 mar.","48.8663534","2.3270047","","",""
"Baya - Paris Cambon - Coworking, Location de bureau & Salle de réunion","Location de bureaux, salles de réunion et domiciliation d'entreprise à Cambon-Saint-Honoré Paris 01.
Baya Cambon-Saint-Honoré vous accueille dans un environnement raffiné où de grands noms de la mode ont installé leurs ateliers. Situé entre Concorde, La Madeleine et place Vendôme dans le 1er arrondissement de Paris, le quartier Saint-Honoré est réputé pour ses boutiques de luxe et restaurants raffinés.
Immeuble de 6 étages proposant des bureaux de 1 à 25 postes, un espace coworking, phone box, et une grande salle de réunion de 30 personnes, avec un bel extérieur au calme.","Centre d'affaires","Centre d'affaires; Espace de coworking; Salle de réception; Agence de location de bureaux","agence evenementiel in vendome","Paris","20 Rue Cambon, 75001 Paris","","20 Rue Cambon","75001","","FR","Europe/Paris","V89G+2J Paris","01 44 50 40 00","https://www.baya-solution.com/nos-adresses/paris-cambon-coworking?utm_source=Google&utm_medium=My+Business&utm_campaign=cambon","4.7","10","77","Good","","Ferme bientôt ? 18:30 ? Ouvre à 08:30 mar.","48.8676217","2.3265379","Accessibilité; Parking","Accessibilité; Parking","Entrée accessible en fauteuil roulant; Parking payant dans la rue"
"The Creative Machine","Communication & Production","Agence de marketing","Agence de marketing; Photographe commercial; Société de production vidéo","agence evenementiel in vendome","Paris","229 Rue Saint-Honoré, 75001 Paris","","229 Rue Saint-Honoré","75001","","FR","Europe/Paris","V88H+CQ Paris","06 35 45 76 06","http://www.thecreativemachine.agency/","5.0","9","78","Good","","Ferme bientôt ? 19:00 ? Ouvre à 10:00 mar.","48.866015399999995","2.3294181","","",""
"Area Box","","Agence de relations publiques","Agence de relations publiques","agence evenementiel in vendome","Paris","16 Rue St Sabin, 75011 Paris","","16 Rue St Sabin","75011","","FR","Europe/Paris","V94C+6Q Paris","01 42 71 40 79","http://areabox.fr/contact/","4.4","26","64","Good","","Ferme bientôt ? 19:00 ? Ouvre à 09:00 mar.","48.855588999999995","2.3718965","","",""
"Vomedias","","Agence de marketing","Agence de marketing","agence evenementiel in vendome","Paris","231 Rue Saint-Honoré, 75001 Paris","","231 Rue Saint-Honoré","75001","","FR","Europe/Paris","V88H+FM Paris","01 89 16 44 95","https://vomedias.com/","3.9","34","54","Average","","Ouvert 24h/24","48.8661812","2.3291787999999998","","",""
"Accile - Cabinet de recrutement à Paris","Accile est un cabinet de recrutement spécialisé dans les domaines de la Communication, du Marketing, du Digital & Web et de l'Informatique (IT/SI/Innovation/Télécom).
Fort de plus de 20 années d'expérience, notre accompagnement commence par une phase d'écoute afin de définir le plus précisément possible votre besoin de recrutement avant de passer sur la phase de sélection et d'évaluation des candidats et enfin à l'identification puis le recrutement du talent recherché.
Nos locaux parisiens sont accessibles via le RER A à l'arrêt Opéra ou depuis les lignes de métro 14 et 7 à la station Pyramides. Cependant nous ne pouvons recevoir de visite sans rendez-vous, aussi nous vous invitons à nous contacter via notre site.","Cabinet de recrutement","Cabinet de recrutement","agence evenementiel in vendome","Paris","27 Av. de l'Opéra, 75001 Paris","","27 Av. de l'Opéra","75001","","FR","Europe/Paris","V88M+P9 Paris","01 88 33 43 44","https://www.accile.com/","5.0","18","85","Excellent","","Fermé ? Ouvre à 09:00 mar.","48.8668106","2.3334824","Services disponibles; Parking","Services disponibles; Parking","Assistance dans d'autres langues; Parking payant dans la rue"
"Maison90","IT?S JUST A VIBE.

Maison90 partage une philosophie, entre nostalgie culturelle et sophistication moderne, entre passé et présent, entre l?énergie d?hier et la vivacité d?aujourd?hui.

Créé pour inspirer, Maison90 imagine des univers et des esthétiques singuliers qui capturent l?essence de cette vision. De la Stratégie à la Direction Artistique, nous aimons repousser les limites de la créativité en mêlant l?audace culturelle à l?élégance intemporelle.","Agence de publicité","Agence de publicité","agence evenementiel in vendome","Paris","9 Rue du Mont Thabor, 75001 Paris","","9 Rue du Mont Thabor","75001","","FR","Europe/Paris","V88H+5H Paris","","https://www.maison90.com/","5.0","2","66","Good","","Fermé ? Ouvre à 09:00 mar.","48.865463899999995","2.3288775999999998","","",""
"Thirion Laure","","Salle de danse","Salle de danse","agence evenementiel in vendome","Paris","23 Rue de la Sourdière, 75001 Paris","","23 Rue de la Sourdière","75001","","FR","Europe/Paris","V88J+HX Paris","","http://www.condanse.fr/","5.0","1","63","Good","","","48.8664996","2.3324395","Offre","Offre","Bien pour danser"
"Americar Prestige - voitures de luxe et mariage","Americar Prestige est une agence de location spécialisée dans la location de voitures de luxe et de prestige. L'agence vous accompagne depuis 2007 à travers la location de voitures pour mariage et autres cérémonies ou événements (personnels ou professionnels). Vous avez un large choix de véhicules haut de gamme parmi notre collection (Ferrari, Bentley, Mercedes, Porsche, Rolls-Royce...) dans différentes catégories de voitures de luxe (sportives, berlines, limousines, électriques, SUV, vans, américaines, italiennes, anglaises, etc.). Visitez notre site pour avoir une idée de notre collection. Vous y trouverez sûrement votre bonheur en termes de location de voitures de luxe à Paris et en Île-de-France.","Agence de location de voitures","Agence de location de voitures; Service de chauffeur privé; Service de chauffeur particulier; Service de voiturier; Prestataire de mariage","agence evenementiel in vendome","Paris","5 Rue de Castiglione, 75001 Paris","","5 Rue de Castiglione","75001","","FR","Europe/Paris","V88H+F3 Paris","01 53 45 30 26","https://americarprestige.com/","4.9","160","93","Excellent","","Ouvert ? Ferme à 20:00","48.8661501","2.3276529","Accessibilité; Clientèle","Accessibilité; Clientèle","Parking accessible en fauteuil roulant; Safe place pour les transgenres"
"WONDER Expérience","ACTIVEZ LES SUPER-POUVOIRS DE VOS COLLABORATEURS
De la formation à l?événementiel, nous accompagnons vos collaborateurs pour qu?ils deviennent des héros de l?expérience client. Évaluer, progresser, célébrer sont nos 3 piliers au service de vos objectifs.
Chaque projet est pensé pour vous et avec vous, et attendez-vous à sortir des sentiers battus !","Centre de formation","Centre de formation","agence evenementiel in vendome","Paris","4 Rue Royale, 75008 Paris","","4 Rue Royale","75008","","FR","Europe/Paris","V88F+W3 Paris","06 78 03 84 50","https://www.wonderxperience.com/","0.0","0","60","Average","","Fermé ? Ouvre à 09:00 mar.","48.867272299999996","2.3226695","","",""
"Agence Only You","L?agence ONLY YOU redéfinit la relation client dans les métiers de l?accueil.
Notre vision et nos valeurs communes sont centrées sur votre satisfaction et celle de nos collaborateurs. Faisons, ensemble, évoluer votre perception du service en créant des relations durables et authentiques.
Notre équipe, sélectionnée avec soin, partage «la passion du métier» et met tout
en ?uvre pour répondre à vos attentes. Chez OnlyYou, vous ne serez pas un simple client, vous ferez partie de notre famille où toute relation sera empreinte de confiance.","Services aux entreprises","Services aux entreprises","agence evenementiel in vendome","Paris","27 Av. de l'Opéra, 75001 Paris","","27 Av. de l'Opéra","75001","","FR","Europe/Paris","V88M+PF Paris","01 47 68 43 13","https://agence-onlyyou.fr/","3.3","56","44","Average","","Ferme bientôt ? 19:00 ? Ouvre à 07:00 mar.","48.8668281","2.3336311","Parking","Parking","Parking payant dans la rue"
"Monica Médias","Tous les services événementiels, tout de suite en 3 clics, partout en France, Suisse, Monaco, Luxembourg et Belgique !","Organisateur d'événements","Organisateur d'événements; Studio d'animation; Média","agence evenementiel in brunoy","Paris","Tour CIT Montparnasse, 3 Rue de l'Arrivée, 75015 Paris","","Tour CIT Montparnasse, 3 Rue de l'Arrivée","75015","","FR","Europe/Paris","R8VF+C7 Paris","01 45 67 83 83","http://www.monicamedias.com/","4.3","13","62","Good","","Ouvert 24h/24","48.8435353","2.3231859999999998","Services disponibles","Services disponibles","Rendez-vous en ligne; Services sur place"
"Pépite Paris","Pépite Paris est une agence événementielle eco-responsable qui organise des journées d'études/réunions et ateliers de cohésion d'équipe (cours de cuisine en particulier) pour les entreprises.
Nous sommes Entreprise à Mission et certifiée BCorp.

Pépite Paris propose :
- des team building culinaires (défi top chef, challenge zéro déchet...), des ateliers de calligraphie, art floral, danse ou chant.
Cet espace est modulable, pour 6 à 18 personnes.
- la location de 2 espaces ""réunion / meeting"" pour 10 à 40 personnes.","Agence événementielle","Agence événementielle; Salle de réception","agence evenementiel in cachan","Paris","21 Ter Rue de l'Hirondelle, 75006 Paris","","21 Ter Rue de l'Hirondelle","75006","","FR","Europe/Paris","V83V+97 Paris","","http://www.pepite.paris/","5.0","143","96","Excellent","","Ouvert ? Ferme à 21:30","48.853491899999995","2.3431344","Fournis par l'établissement; Services disponibles; Accessibilité; Services","Fournis par l'établissement; Services disponibles; Accessibilité; Services","S'identifie comme géré par une femme; Rendez-vous en ligne; Services sur place; Entrée accessible en fauteuil roulant; Places assises accessibles en fauteuil roulant; Toilettes non genrées"
"Eyesight","","Agence événementielle","Agence événementielle","agence evenementiel in bry-sur-marne","Paris","2 Rue de la Roquette, 75011 Paris","","2 Rue de la Roquette","75011","","FR","Europe/Paris","V93C+96 Paris","01 73 73 92 00","http://www.eyesightgroup.com/","4.0","1","61","Good","","Ouvert ? Ferme à 19:00","48.8533919","2.3705645","","",""
"Agence Milestone","Milestone est une agence de marketing opérationnel, spécialisée dans le sport, le gaming, la culture, et les événements Grand Public.","Agence événementielle","Agence événementielle","agence evenementiel in la defense","Paris","6 Rue Paul Saunière, 75016 Paris","","6 Rue Paul Saunière","75016","","FR","Europe/Paris","V75J+P2 Paris","","https://www.agencemilestone.com/","5.0","1","63","Good","","Ouvert ? Ferme à 18:00","48.8593148","2.2800580999999998","","",""
"Event2Be","Event2Be organise votre événement de A à Z.

Véritable laboratoire créatif à l?écoute des tendances et des nouveautés, l?agence événementielle Event2Be s?engage à faire de votre événement un moment singulier et mémorable.

Soirée d?entreprise, séminaire, team building, arbre de noël, mariage et soirée privée, nous sommes présents à vos côtés à chaque étape de votre projet.

Entouré des meilleurs professionnels du spectacle, de la décoration, de la restauration et de partenaire de lieux uniques, Event2Be prend en charge l?organisation intégrale de vos événements et conçoit sur-mesure votre manifestation.
Facilitez-vous la vie avec nos solutions clé en main.","Agence événementielle","Agence événementielle","agence evenementiel in la defense","Paris","9 Rue Anatole de la Forge, 75017 Paris","","9 Rue Anatole de la Forge","75017","","FR","Europe/Paris","V7GR+GV Paris","01 79 73 72 44","https://www.event2be.fr/","5.0","1","63","Good","","Ouvert ? Ferme à 19:00","48.876264199999994","2.2921544","","",""
"sensation !","Agence de communication événementielle indépendante, à taille humaine, pionnière d'une démarche ecoresponsable, reconnue pour sa créativité et durablement innovante !","Agence événementielle","Agence événementielle","agence evenementiel in la defense","Paris","6 Rue d'Armaillé, 75017 Paris","","6 Rue d'Armaillé","75017","","FR","Europe/Paris","V7GR+XV Paris","01 44 17 06 06","http://www.sensation.fr/","5.0","2","66","Good","","Ouvert 24h/24","48.877482799999996","2.2921400999999997","","",""
"Les Studios Eden - Privatisation de salles pour soirées et galas étudiants","Les Studios Eden vous accompagne pour l'organisation de vos galas et soirées étudiantes et vous propose des salles en exclusivité (Chalet des iles Daumesnil, Salons France-Amérique, Musée des Arts Forains, Bataclan, Cabaret Sauvage, The Westin Paris-Vendôme, Pavillon Cambon, Pavillon Gabriel, Salons Hoche, Pavillons d'Armenonville)","Agence événementielle","Agence événementielle","agence evenementiel in la madeleine","Paris","138 Rue du Faubourg Saint-Honoré, 75008 Paris","","138 Rue du Faubourg Saint-Honoré","75008","","FR","Europe/Paris","V8F6+3P Paris","01 71 19 94 88","https://studioseden.com/","5.0","10","80","Excellent","","Ouvert ? Ferme à 18:00","48.8726785","2.31176","","",""
"Ethik Connection","","Agence événementielle","Agence événementielle; Cabinet de recrutement; Coach de vie","agence evenementiel in la madeleine","Paris","10 Rue de Penthièvre, 75008 Paris","","10 Rue de Penthièvre","75008","","FR","Europe/Paris","V8F8+6M Paris","01 42 71 08 68","https://www.ethik-connection.com/","5.0","1","63","Good","","Ouvert ? Ferme à 19:00","48.873069799999996","2.3166575","Parking","Parking","Parking payant dans la rue"
"A To Z Events","A To Z Events est une société de prestations événementielles. Elle s?adresse à toutes les entreprises et associations ayant besoin d?organiser un événement : conventions, congrès, colloques, concerts, salons, manifestations sportives et culturelles,...

Nous traduisons votre demande en moyens techniques et humains.

Spécialisés depuis plus de 20 ans dans les prestations scéniques et dans l?exploitation de salle de spectacles (Salle Pleyel, Paris La Défense Aréna, la Seine Musicale,...) nous concevons et exploitons tout de A à Z : Scénographie, Régie, Logistique, Production, Sécurité,...

Nous sommes votre unique interlocuteur sur toute la durée du projet.","Agence événementielle","Agence événementielle; Organisateur d'événements; Service technologique pour l'organisation d'événements; Service d'organisation d'événements professionnels","agence evenementiel in la madeleine","Paris","75 Bd Haussmann, 75008 Paris","","75 Bd Haussmann","75008","","FR","Europe/Paris","V8FF+M2 Paris","","https://nicolas-de-nadai.jimdofree.com/","5.0","1","63","Good","","Ouvert ? Ferme à 20:00","48.8742405","2.3225579","","",""
"Utopia - Privatisation de salles de spectacle pour événements professionnels","Utopia propose en exclusivité la privatisation pour les événements professionnels des salons Duo (300 personnes), du Cabaret Sauvage (500 personnes), du Théâtre Bobino (700 personnes), du Théâtre Edouard VII (730 personnes), de la Salle Gaveau (900 personnes) et du Zenith Paris-LaVillette (5500 personnes).","Agence commerciale","Agence commerciale","agence evenementiel in la madeleine","Paris","138 Rue du Faubourg Saint-Honoré, 75008 Paris","","138 Rue du Faubourg Saint-Honoré","75008","","FR","Europe/Paris","V8F6+3P Paris","01 81 69 52 31","https://www.utopia-paris.com/","4.0","2","63","Good","","Ouvert ? Ferme à 19:00","48.8726785","2.31176","","",""
"Hayden Events","","Organisateur de mariages","Organisateur de mariages","agence evenementiel in la madeleine","Paris","10 Rue de Penthièvre, 75008 Paris","","10 Rue de Penthièvre","75008","","FR","Europe/Paris","V8F8+6J Paris","07 84 16 17 18","https://hayden-events.fr/","5.0","35","91","Excellent","","Ouvert ? Ferme à 18:00","48.8731156","2.3165914","","",""
"Cocoon Space : salle de réunion, formation et location bureau à l'heure - Arcade","Situé dans le 8ème arrondissement, Cocoon Space propose des salles de réunion, formation et bureaux à l?heure. Organisez votre évènement, offsite, séminaire en 3 minutes et profitez d?un espace privé chaleureux.
Nos espaces de travail privatifs « Cocoons » sont à louer à la demande à des prix abordables. Ils sont ouverts de 8h à 23h, week-ends et jours fériés.
Localisation : Saint Lazare, Saint Augustin, 75008","Espace événementiel","Espace événementiel; Centre d'affaires; Services aux entreprises; Centre de conférence; Agence de location de bureaux","agence evenementiel in la madeleine","Paris","58 Rue de l'Arcade, 75008 Paris","","58 Rue de l'Arcade","75008","","FR","Europe/Paris","V8FF+QW Paris","09 75 18 18 92","https://www.cocoon-space.com/venues/arcade","4.9","33","88","Excellent","","Ouvert ? Ferme à 23:00","48.874413499999996","2.3248092","","",""
"Karakter Events","Entourée de professionnels aux ?Karakter? uniques, l?agence s?appuie sur des prestataires hautement qualifiés pour vous offrir une expertise à 360° et répondre à tous les souhaits.

Toujours attentif et à l?écoute de ses clients, l?agence répond à toutes les demandes et place l?humain au c?ur des projets.

Fort de ses 25 ans d'expériences dans des sites prestigieux et des traiteurs de renoms, Ludovic Jean et ses équipes font preuve d?un savoir-faire authentique et singulier.

Soucieuse des évolutions environnementales et sociétales, l?agence Kararker Events référence des partenaires engagés et responsables pour aller plus loin dans sa démarche.","Agence événementielle","Agence événementielle","agence evenementiel in la madeleine","Paris","49-51 Rue de Ponthieu, 75008 Paris","","49-51 Rue de Ponthieu","75008","","FR","Europe/Paris","V8C4+JC Paris","06 62 02 15 54","http://www.karakter-events.com/","5.0","1","63","Good","","Ouvert ? Ferme à 19:00","48.8716149","2.3060974","","",""
"101 Séminaires - Séminaire Paris","","Séminaire","Séminaire","agence evenementiel in la madeleine","Paris","7 Rue de Castellane, 75008 Paris","","7 Rue de Castellane","75008","","FR","Europe/Paris","V8CG+V2 Paris","09 63 52 05 51","https://www.101seminaires.fr/","4.7","13","71","Good","","Ouvert ? Ferme à 20:00","48.8721983","2.3250702999999997","Accessibilité; Parking","Accessibilité; Parking","Entrée accessible en fauteuil roulant; Parking payant dans la rue"
"EDEN System - Des lieux d'exception à privatiser pour vos événements professionnels, remises de diplômes et galas","Eden System est la régie commerciale des plus grandes salles de spectacles et le leader français de l'événementiel pour l'enseignement supérieur. Nous commercialisons en exclusivité des lieux d'exception pour les événements professionnels sous la marque Utopia (Zénith Paris La Villette, Salle Gaveau, Gate, Cabaret Sauvage, Théâtre Edouard VII, Salons Duo, Pavillon Tilsitt), pour les remises de diplômes sous la marque Tableau d'honneur (Théâtre Mogador, Cirque d'hiver, Folies Bergères, Zenith Paris La Villette, Théâtre Edouard VII, Cabaret Sauvage) et les galas étudiants sous la marque Studios Eden (Westin Paris Vendôme, Salons Hoche, Gate, Pavillon Tilsitt, Salons France Amériques).","Espace événementiel","Espace événementiel","agence evenementiel in la madeleine","Paris","138 Rue du Faubourg Saint-Honoré, 75008 Paris","","138 Rue du Faubourg Saint-Honoré","75008","","FR","Europe/Paris","V8F6+3P Paris","01 71 19 94 88","http://eden-system.com/","4.3","3","66","Good","","Ouvert ? Ferme à 19:00","48.872680599999995","2.3117712","","",""
"Human and Partners","L' agence qui métamorphose la communication en histoires :

Chaque entreprise porte une histoire singulière. Dans un monde où chaque interaction influence l?image des marques, la communication et l?événementiel sont des leviers stratégiques pour engager et fédérer tous les publics.

Au-delà de l?événementiel, de nouvelles références émergent. Une compréhension fine des enjeux permet d?imaginer des dispositifs uniques où le récit devient une expérience immersive et engageante qui ancre une marque dans son époque.","Agence événementielle","Agence événementielle","agence evenementiel in la madeleine","Paris","27 Rue du Dr Lancereaux, 75008 Paris","","27 Rue du Dr Lancereaux","75008","","FR","Europe/Paris","V8G5+7R Paris","","http://www.human-n-partners.com/","4.9","9","77","Good","","Ouvert ? Ferme à 21:00","48.8756547","2.3095860999999998","Parking","Parking","Parking payant dans la rue"
"Happy Company","HAPPY COMPANY est une agence de communication événementielle qui accompagne les marques, les entreprises, les institutions dans la conception, le conseil et la mise en ?uvre de leurs dispositifs événementiels.

Conventions, showrooms, salons, conférences de presse, pop-ups, événements grand public, sont autant de format qui font partie des expertises de l'agence.","Agence événementielle","Agence événementielle","agence evenementiel in la madeleine","Paris","13 Rue Royale, 75008 Paris","","13 Rue Royale","75008","","FR","Europe/Paris","V89C+7V Paris","01 83 75 81 43","https://www.happycompany.fr/","0.0","0","60","Average","","","48.8681274","2.3222177","","",""
"Centrale d'achat MICE et Evenementiel - Event Collection","","Agence événementielle","Agence événementielle","agence evenementiel in la madeleine","Paris","122 Av. des Champs-Élysées, 75008 Paris","","122 Av. des Champs-Élysées","75008","","FR","Europe/Paris","V8F2+22 Paris","","https://event-collection.com/","5.0","1","63","Good","","Ouvert ? Ferme à 18:00","48.8725339","2.3000743","","",""
